Job Title,Job Category,Company,Salary,Skills Required
Security Analyst,Cybersecurity,Meta,30 LPA,"Incident Response, Python, Network Security, Firewall Management, Ethical Hacking"
AI Engineer,Artificial Intelligence,IBM,25 LPA,"TensorFlow, Computer Vision, Python, PyTorch"
Backend Developer,Web Development,Meta,15 LPA,"SQL, Python, Flask, Git"
Cloud Engineer,Cloud Computing,Meta,32 LPA,"Cloud Security, Docker, Kubernetes, AWS"
Cloud Engineer,Cloud Computing,Accenture,28 LPA,"Docker, Terraform, Cloud Security, Kubernetes, AWS, GCP"
DevOps Engineer,DevOps,Google,32 LPA,"Jenkins, Docker, AWS, Kubernetes, CI/CD, Linux, Ansible"
AI Engineer,Artificial Intelligence,Deloitte,25 LPA,"Deep Learning, TensorFlow, Python"
Digital Marketing Specialist,Digital Marketing,Deloitte,12 LPA,"SEO, Google Analytics, Content Marketing"
Data Analyst,Data Science,Capgemini,25 LPA,"Python, Excel, SQL, Tableau, Statistics, Hadoop"
Backend Developer,Web Development,Deloitte,12 LPA,"APIs, Python, Git, SQL, Next.js"
DevOps Engineer,DevOps,Microsoft,24 LPA,"AWS, Jenkins, Docker, CI/CD, Kubernetes, Linux"
Cloud Engineer,Cloud Computing,Google,25 LPA,"Cloud Security, Terraform, Docker, AWS"
Java Developer,Software Engineering,Google,18 LPA,"Java, SQL, OOP Concepts, Data Structures, Hibernate"
Senior Data Scientist,Data Science,Cisco,25 LPA,"Pandas, Data Analysis, Statistics, SQL, TensorFlow, Machine Learning"
Business Analyst,Business Analysis,Capgemini,14 LPA,"Business Analysis, Excel, SQL, Power BI, Tableau, Requirement Gathering, Agile Methodology"
Cloud Engineer,Cloud Computing,Capgemini,28 LPA,"Cloud Security, Docker, Terraform, AWS, Kubernetes, GCP"
Database Administrator,Database Management,Google,15 LPA,"Oracle, Database Design, SQL, Performance Tuning"
DevOps Engineer,DevOps,Infosys,28 LPA,"Docker, CI/CD, Linux, Kubernetes, Jenkins"
Digital Marketing Specialist,Digital Marketing,Amazon,10 LPA,"Content Marketing, Google Analytics, Email Marketing, SEM, SEO"
Java Developer,Software Engineering,Meta,14 LPA,"Data Structures, SQL, Spring Boot, Maven, OOP Concepts, Hibernate"
DevOps Engineer,DevOps,Capgemini,32 LPA,"Kubernetes, Jenkins, Docker, CI/CD"
Senior Data Scientist,Data Science,Meta,20 LPA,"Data Analysis, TensorFlow, Python, Statistics, Machine Learning, SQL, PySpark"
Senior Data Scientist,Data Science,Cisco,20 LPA,"SQL, Machine Learning, Statistics, Pandas, TensorFlow, Python, Data Analysis"
Database Administrator,Database Management,Deloitte,20 LPA,"SQL, Oracle, Backup and Recovery, Performance Tuning"
Database Administrator,Database Management,Amazon,15 LPA,"Database Design, Performance Tuning, Backup and Recovery, SQL"
Business Analyst,Business Analysis,Capgemini,14 LPA,"Tableau, Business Analysis, SQL, Excel, Requirement Gathering, Power BI"
DevOps Engineer,DevOps,Google,28 LPA,"Docker, CI/CD, Jenkins, Linux, AWS, Kubernetes, Ansible"
Frontend Developer,Web Development,Capgemini,12 LPA,"Responsive Design, Git, HTML, JavaScript, React, CSS"
Senior Data Scientist,Data Science,IBM,30 LPA,"TensorFlow, Python, SQL, Data Analysis, Machine Learning, Statistics"
Cloud Engineer,Cloud Computing,Accenture,25 LPA,"AWS, Kubernetes, Docker, Cloud Security, GCP"
Security Analyst,Cybersecurity,TCS,22 LPA,"Ethical Hacking, Python, Incident Response"
Java Developer,Software Engineering,IBM,20 LPA,"OOP Concepts, Spring Boot, Maven, Data Structures, JUnit"
Security Analyst,Cybersecurity,Microsoft,26 LPA,"Incident Response, Network Security, Python, Firewall Management"
AI Engineer,Artificial Intelligence,Accenture,35 LPA,"Deep Learning, TensorFlow, Python, Computer Vision"
Security Analyst,Cybersecurity,Amazon,30 LPA,"Python, Firewall Management, Incident Response, Network Security, Ethical Hacking, SIEM"
Security Analyst,Cybersecurity,Capgemini,22 LPA,"Network Security, Python, Incident Response, Firewall Management, SIEM"
Digital Marketing Specialist,Digital Marketing,Microsoft,8 LPA,"Content Marketing, SEO, Email Marketing"
Java Developer,Software Engineering,Infosys,20 LPA,"Java, Maven, SQL, Spring Boot, JUnit"
AI Engineer,Artificial Intelligence,Infosys,30 LPA,"Computer Vision, NLP, Deep Learning, Python, TensorFlow, PyTorch"
Senior Data Scientist,Data Science,Cisco,25 LPA,"Python, Pandas, TensorFlow, SQL, Statistics, Machine Learning, Data Analysis, Hadoop"
Digital Marketing Specialist,Digital Marketing,Infosys,12 LPA,"Google Analytics, SEM, Content Marketing"
Cloud Engineer,Cloud Computing,Infosys,25 LPA,"Terraform, Cloud Security, Linux, Docker, AWS"
Business Analyst,Business Analysis,Deloitte,10 LPA,"Power BI, Excel, Tableau, Requirement Gathering, SQL"
Database Administrator,Database Management,Microsoft,20 LPA,"Backup and Recovery, SQL, Database Design"
Data Analyst,Data Science,Microsoft,25 LPA,"SQL, Data Visualization, Statistics, Python, Excel, Tableau"
Database Administrator,Database Management,IBM,15 LPA,"Database Design, Backup and Recovery, SQL"
Backend Developer,Web Development,Deloitte,18 LPA,"APIs, Python, SQL, Flask, Git"
Security Analyst,Cybersecurity,Microsoft,26 LPA,"Ethical Hacking, Python, Network Security, Incident Response, Firewall Management"
DevOps Engineer,DevOps,IBM,28 LPA,"Kubernetes, Docker, Jenkins, AWS, CI/CD"
AI Engineer,Artificial Intelligence,Accenture,25 LPA,"Deep Learning, NLP, Computer Vision"
Data Analyst,Data Science,Microsoft,20 LPA,"Excel, Tableau, Statistics, Data Visualization, SQL"
Security Analyst,Cybersecurity,Cisco,26 LPA,"Incident Response, Network Security, Firewall Management, Ethical Hacking, Cryptography"
Java Developer,Software Engineering,IBM,18 LPA,"Maven, SQL, OOP Concepts, Java"
Database Administrator,Database Management,Accenture,20 LPA,"SQL, Database Design, Performance Tuning, Backup and Recovery, Oracle"
Database Administrator,Database Management,Deloitte,15 LPA,"Performance Tuning, Oracle, Backup and Recovery"
Security Analyst,Cybersecurity,Capgemini,22 LPA,"Ethical Hacking, Network Security, Incident Response, Python, SIEM"
Security Analyst,Cybersecurity,Deloitte,26 LPA,"Ethical Hacking, Incident Response, Python, Firewall Management, Network Security"
Java Developer,Software Engineering,Capgemini,20 LPA,"Maven, Spring Boot, Java, Data Structures, SQL, OOP Concepts"
Security Analyst,Cybersecurity,Google,30 LPA,"Incident Response, Network Security, Python"
Digital Marketing Specialist,Digital Marketing,Capgemini,12 LPA,"Google Analytics, Content Marketing, Email Marketing, SEO"
AI Engineer,Artificial Intelligence,Accenture,30 LPA,"Deep Learning, NLP, Computer Vision, TensorFlow"
Database Administrator,Database Management,Cisco,18 LPA,"SQL, Oracle, Backup and Recovery"
Cloud Engineer,Cloud Computing,Accenture,25 LPA,"Terraform, Docker, Kubernetes, AWS"
Frontend Developer,Web Development,Google,18 LPA,"React, HTML, Git, CSS, JavaScript, Responsive Design, Bootstrap"
Database Administrator,Database Management,Google,18 LPA,"Backup and Recovery, Database Design, Performance Tuning, Oracle"
Database Administrator,Database Management,Infosys,15 LPA,"Database Design, Performance Tuning, Backup and Recovery, SQL, Oracle, PostgreSQL"
Data Analyst,Data Science,Amazon,25 LPA,"Tableau, Data Visualization, Python, Excel, SQL, Statistics"
Java Developer,Software Engineering,Amazon,18 LPA,"Spring Boot, Data Structures, Maven, SQL, Java, JUnit"
Senior Data Scientist,Data Science,Cisco,20 LPA,"Pandas, Machine Learning, Data Analysis, TensorFlow, Statistics"
Senior Data Scientist,Data Science,Capgemini,25 LPA,"Machine Learning, Python, SQL, Statistics, TensorFlow, Data Analysis, Pandas"
Business Analyst,Business Analysis,Accenture,16 LPA,"SQL, Business Analysis, Excel, Power BI, Tableau"
Data Analyst,Data Science,IBM,30 LPA,"Tableau, SQL, Excel, Python"
Java Developer,Software Engineering,Accenture,14 LPA,"Java, OOP Concepts, SQL, Spring Boot, Maven, JUnit"
Business Analyst,Business Analysis,Accenture,14 LPA,"Excel, Business Analysis, Tableau, Requirement Gathering, Power BI, Agile Methodology"
Java Developer,Software Engineering,IBM,14 LPA,"Data Structures, Maven, Java, Spring Boot, SQL, OOP Concepts"
Cloud Engineer,Cloud Computing,Capgemini,25 LPA,"Linux, Docker, AWS, Cloud Security"
Digital Marketing Specialist,Digital Marketing,Accenture,12 LPA,"SEO, Content Marketing, SEM"
Cloud Engineer,Cloud Computing,Microsoft,25 LPA,"AWS, Docker, Cloud Security, Kubernetes, Linux, Azure"
Security Analyst,Cybersecurity,Deloitte,22 LPA,"Python, Network Security, Firewall Management, Ethical Hacking, Cryptography"
Backend Developer,Web Development,Amazon,12 LPA,"Flask, Git, Python, Django, APIs, Bootstrap"
Database Administrator,Database Management,Capgemini,18 LPA,"Database Design, SQL, Performance Tuning, Oracle, PostgreSQL"
Data Analyst,Data Science,TCS,30 LPA,"SQL, Statistics, Excel, Data Visualization, PySpark"
Database Administrator,Database Management,TCS,15 LPA,"Oracle, Backup and Recovery, SQL, Performance Tuning, Database Design, PostgreSQL"
Backend Developer,Web Development,Infosys,15 LPA,"Python, Flask, APIs, Git, Django"
AI Engineer,Artificial Intelligence,IBM,35 LPA,"NLP, Computer Vision, Deep Learning, PyTorch"
Cloud Engineer,Cloud Computing,Capgemini,32 LPA,"Kubernetes, Linux, AWS, Cloud Security"
Cloud Engineer,Cloud Computing,Microsoft,25 LPA,"Docker, Cloud Security, Terraform, AWS, Linux"
DevOps Engineer,DevOps,Deloitte,24 LPA,"Docker, Kubernetes, Linux, AWS, Jenkins, CI/CD"
Frontend Developer,Web Development,Capgemini,12 LPA,"React, HTML, CSS, Git, JavaScript, Responsive Design"
AI Engineer,Artificial Intelligence,Meta,35 LPA,"TensorFlow, Deep Learning, NLP, PyTorch"
DevOps Engineer,DevOps,Capgemini,24 LPA,"Kubernetes, CI/CD, Jenkins, Docker, AWS, Ansible"
Java Developer,Software Engineering,Accenture,18 LPA,"SQL, Spring Boot, Java, Data Structures, Maven"
Java Developer,Software Engineering,Accenture,18 LPA,"OOP Concepts, Spring Boot, Data Structures, Java, SQL, JUnit"
AI Engineer,Artificial Intelligence,Accenture,25 LPA,"NLP, Python, Deep Learning, TensorFlow"
Security Analyst,Cybersecurity,Capgemini,30 LPA,"Python, Network Security, Ethical Hacking, Firewall Management, Incident Response"
Backend Developer,Web Development,Cisco,18 LPA,"Git, APIs, Flask, SQL, Django, Python, Next.js"
DevOps Engineer,DevOps,Capgemini,28 LPA,"Docker, Jenkins, Kubernetes, Linux, CI/CD"
AI Engineer,Artificial Intelligence,TCS,30 LPA,"Python, TensorFlow, NLP, Deep Learning, Computer Vision, PyTorch"
Cloud Engineer,Cloud Computing,Google,32 LPA,"AWS, Kubernetes, Terraform, Docker, Linux, Cloud Security"
Security Analyst,Cybersecurity,Capgemini,22 LPA,"Firewall Management, Ethical Hacking, Network Security, Python"
Frontend Developer,Web Development,Microsoft,12 LPA,"Git, JavaScript, HTML, React"
Cloud Engineer,Cloud Computing,Infosys,25 LPA,"Kubernetes, Docker, Cloud Security, AWS, Terraform, Linux, Azure"
Database Administrator,Database Management,Meta,18 LPA,"Database Design, Backup and Recovery, Performance Tuning, SQL, PostgreSQL"
Data Analyst,Data Science,Microsoft,25 LPA,"SQL, Tableau, Python, Statistics, Data Visualization"
Senior Data Scientist,Data Science,IBM,25 LPA,"Python, Machine Learning, Pandas, TensorFlow, SQL, Data Analysis, Statistics"
AI Engineer,Artificial Intelligence,Deloitte,25 LPA,"Python, Computer Vision, Deep Learning, TensorFlow, NLP"
Digital Marketing Specialist,Digital Marketing,Google,10 LPA,"Google Analytics, SEM, Email Marketing"
Digital Marketing Specialist,Digital Marketing,Cisco,8 LPA,"SEO, Content Marketing, Email Marketing, Social Media Marketing"
Backend Developer,Web Development,Meta,18 LPA,"Python, APIs, Flask, Git, Next.js"
Java Developer,Software Engineering,Google,14 LPA,"Spring Boot, Maven, Java, SQL"
Security Analyst,Cybersecurity,TCS,22 LPA,"Ethical Hacking, Firewall Management, Python"
Data Analyst,Data Science,Cisco,30 LPA,"SQL, Python, Statistics, Tableau, Excel, PySpark"
Business Analyst,Business Analysis,Infosys,10 LPA,"Business Analysis, Power BI, Requirement Gathering, Excel, Tableau, SQL, Agile Methodology"
Frontend Developer,Web Development,Accenture,18 LPA,"CSS, Responsive Design, HTML, Git"
Senior Data Scientist,Data Science,Infosys,25 LPA,"Python, Statistics, Data Analysis, TensorFlow, Machine Learning, Pandas, Hadoop"
Digital Marketing Specialist,Digital Marketing,IBM,10 LPA,"Content Marketing, Google Analytics, SEM, SEO, Email Marketing"
Digital Marketing Specialist,Digital Marketing,Capgemini,10 LPA,"Email Marketing, SEM, SEO"
Senior Data Scientist,Data Science,TCS,25 LPA,"Pandas, Machine Learning, Python, TensorFlow, Data Analysis"
AI Engineer,Artificial Intelligence,Accenture,30 LPA,"TensorFlow, Deep Learning, NLP, Python"
Cloud Engineer,Cloud Computing,Deloitte,28 LPA,"Cloud Security, AWS, Docker, Kubernetes, Terraform, Linux, GCP"
Data Analyst,Data Science,IBM,30 LPA,"Excel, Statistics, SQL, Tableau, Data Visualization, PySpark"
Database Administrator,Database Management,Microsoft,18 LPA,"SQL, Database Design, Performance Tuning, Backup and Recovery, Oracle"
Database Administrator,Database Management,Cisco,20 LPA,"Database Design, Backup and Recovery, SQL, Performance Tuning, Oracle"
Digital Marketing Specialist,Digital Marketing,Meta,8 LPA,"SEM, SEO, Content Marketing"
Data Analyst,Data Science,IBM,25 LPA,"Excel, SQL, Statistics, Data Visualization"
Digital Marketing Specialist,Digital Marketing,Cisco,10 LPA,"SEM, Email Marketing, SEO, Google Analytics, Content Marketing"
Security Analyst,Cybersecurity,Google,22 LPA,"Python, Network Security, Incident Response, Ethical Hacking"
Data Analyst,Data Science,Meta,20 LPA,"Excel, Python, Statistics, Tableau"
Business Analyst,Business Analysis,Google,16 LPA,"Business Analysis, SQL, Power BI, Requirement Gathering, Tableau, Excel, Agile Methodology"
Database Administrator,Database Management,Google,15 LPA,"Database Design, Oracle, SQL"
Frontend Developer,Web Development,Accenture,18 LPA,"Responsive Design, JavaScript, React, HTML"
Digital Marketing Specialist,Digital Marketing,Deloitte,8 LPA,"Content Marketing, Email Marketing, Google Analytics, SEM"
AI Engineer,Artificial Intelligence,Infosys,35 LPA,"TensorFlow, Deep Learning, NLP, Python, Computer Vision"
Digital Marketing Specialist,Digital Marketing,Infosys,12 LPA,"SEO, Google Analytics, Content Marketing, Email Marketing, SEM, Social Media Marketing"
Frontend Developer,Web Development,Infosys,12 LPA,"Git, Responsive Design, CSS, HTML, Bootstrap"
Cloud Engineer,Cloud Computing,Deloitte,28 LPA,"Linux, Kubernetes, Terraform, Docker, AWS, Azure"
Digital Marketing Specialist,Digital Marketing,Deloitte,8 LPA,"Email Marketing, SEO, Content Marketing"
Data Analyst,Data Science,Capgemini,25 LPA,"Statistics, Tableau, Python, Data Visualization, Excel, Hadoop"
Backend Developer,Web Development,Deloitte,12 LPA,"Flask, Django, Git, APIs, SQL, Python, Bootstrap"
Database Administrator,Database Management,Accenture,15 LPA,"SQL, Backup and Recovery, Performance Tuning"
Senior Data Scientist,Data Science,Capgemini,20 LPA,"Pandas, Statistics, Machine Learning, Python, TensorFlow, Data Analysis"
Java Developer,Software Engineering,Infosys,20 LPA,"Java, OOP Concepts, Data Structures, Maven"
AI Engineer,Artificial Intelligence,Google,30 LPA,"TensorFlow, Computer Vision, NLP, Deep Learning"
Frontend Developer,Web Development,Accenture,12 LPA,"Responsive Design, HTML, CSS, JavaScript, Git, React"
Business Analyst,Business Analysis,IBM,10 LPA,"SQL, Requirement Gathering, Tableau, Excel, Power BI, Agile Methodology"
Cloud Engineer,Cloud Computing,Microsoft,25 LPA,"Terraform, Linux, AWS, Cloud Security, GCP"
Backend Developer,Web Development,Capgemini,15 LPA,"Django, SQL, APIs, Flask, Git, Next.js"
Database Administrator,Database Management,Capgemini,15 LPA,"Performance Tuning, Backup and Recovery, Oracle, SQL, PostgreSQL"
Business Analyst,Business Analysis,IBM,10 LPA,"SQL, Requirement Gathering, Power BI, Business Analysis"
Java Developer,Software Engineering,Capgemini,14 LPA,"Data Structures, Maven, Spring Boot, Java, Hibernate"
Java Developer,Software Engineering,Google,18 LPA,"Java, Data Structures, Maven, Spring Boot, SQL"
AI Engineer,Artificial Intelligence,Meta,30 LPA,"Python, NLP, Computer Vision, Deep Learning, TensorFlow"
Cloud Engineer,Cloud Computing,Amazon,25 LPA,"Linux, Kubernetes, AWS, Docker, Cloud Security"
DevOps Engineer,DevOps,IBM,32 LPA,"Kubernetes, Jenkins, AWS, Docker, Linux, CI/CD, Ansible"
Business Analyst,Business Analysis,TCS,14 LPA,"Power BI, Business Analysis, SQL, Excel, Tableau"
Senior Data Scientist,Data Science,Microsoft,25 LPA,"Machine Learning, SQL, TensorFlow, Pandas, Data Analysis, Python"
Business Analyst,Business Analysis,TCS,16 LPA,"Power BI, Requirement Gathering, Excel, Tableau, SQL, Agile Methodology"
Senior Data Scientist,Data Science,Infosys,25 LPA,"TensorFlow, Data Analysis, Pandas, Machine Learning, SQL, Statistics"
Database Administrator,Database Management,Capgemini,20 LPA,"SQL, Backup and Recovery, Oracle, Database Design"
Digital Marketing Specialist,Digital Marketing,TCS,8 LPA,"Content Marketing, Email Marketing, SEO, SEM, Social Media Marketing"
DevOps Engineer,DevOps,Accenture,32 LPA,"Docker, CI/CD, Linux, Jenkins, AWS, Kubernetes, Ansible"
AI Engineer,Artificial Intelligence,IBM,30 LPA,"Deep Learning, Python, TensorFlow"
Digital Marketing Specialist,Digital Marketing,Capgemini,10 LPA,"Google Analytics, SEO, SEM, Content Marketing"
Backend Developer,Web Development,Microsoft,15 LPA,"Django, Git, SQL, APIs, Flask"
Senior Data Scientist,Data Science,Meta,20 LPA,"Machine Learning, SQL, TensorFlow, Pandas, Python, Data Analysis, Statistics"
Data Analyst,Data Science,TCS,20 LPA,"SQL, Data Visualization, Python, Excel, Tableau, Statistics, Hadoop"
Database Administrator,Database Management,IBM,15 LPA,"Database Design, Oracle, Performance Tuning, Backup and Recovery, SQL"
Database Administrator,Database Management,Google,20 LPA,"Performance Tuning, Database Design, Backup and Recovery, SQL"
Security Analyst,Cybersecurity,Infosys,22 LPA,"Firewall Management, Ethical Hacking, Incident Response, Python, Network Security"
AI Engineer,Artificial Intelligence,TCS,30 LPA,"Computer Vision, NLP, Python, Deep Learning, PyTorch"
Data Analyst,Data Science,Capgemini,20 LPA,"Tableau, Data Visualization, Statistics, Excel, Python"
Java Developer,Software Engineering,Google,18 LPA,"OOP Concepts, Data Structures, Java, Spring Boot, SQL, Maven, Hibernate"
Backend Developer,Web Development,Cisco,12 LPA,"Django, APIs, Flask, Python, Git"
AI Engineer,Artificial Intelligence,Google,35 LPA,"Python, NLP, Deep Learning, TensorFlow"
Security Analyst,Cybersecurity,Deloitte,30 LPA,"Python, Network Security, Incident Response, Ethical Hacking"
AI Engineer,Artificial Intelligence,Accenture,35 LPA,"TensorFlow, Deep Learning, NLP, Computer Vision"
Data Analyst,Data Science,Cisco,25 LPA,"Statistics, Data Visualization, Excel, SQL, Python"
AI Engineer,Artificial Intelligence,Meta,25 LPA,"Computer Vision, TensorFlow, Deep Learning, Python"
Database Administrator,Database Management,Microsoft,15 LPA,"Performance Tuning, SQL, Oracle, PostgreSQL"
Java Developer,Software Engineering,Cisco,14 LPA,"OOP Concepts, SQL, Spring Boot, Java, Maven"
Cloud Engineer,Cloud Computing,Capgemini,25 LPA,"Cloud Security, Linux, Docker, Kubernetes, GCP"
Cloud Engineer,Cloud Computing,Google,32 LPA,"Cloud Security, Docker, Linux, Terraform, AWS, Azure"
Database Administrator,Database Management,Accenture,15 LPA,"SQL, Database Design, Oracle"
Digital Marketing Specialist,Digital Marketing,Deloitte,8 LPA,"Email Marketing, Google Analytics, SEO"
Cloud Engineer,Cloud Computing,Amazon,25 LPA,"Terraform, AWS, Docker, Cloud Security"
Backend Developer,Web Development,Meta,18 LPA,"APIs, Python, SQL, Flask, Next.js"
Digital Marketing Specialist,Digital Marketing,Amazon,12 LPA,"SEM, Google Analytics, SEO, Content Marketing, Email Marketing"
Business Analyst,Business Analysis,TCS,10 LPA,"Excel, Business Analysis, Tableau, SQL"
Security Analyst,Cybersecurity,Deloitte,22 LPA,"Incident Response, Network Security, Ethical Hacking, Python"
Cloud Engineer,Cloud Computing,Microsoft,28 LPA,"Terraform, Linux, Cloud Security, Kubernetes, Docker"
Cloud Engineer,Cloud Computing,Amazon,25 LPA,"Terraform, AWS, Kubernetes, Cloud Security, Linux"
Security Analyst,Cybersecurity,IBM,30 LPA,"Python, Ethical Hacking, Network Security"
AI Engineer,Artificial Intelligence,Infosys,25 LPA,"Computer Vision, NLP, Deep Learning, PyTorch"
DevOps Engineer,DevOps,TCS,24 LPA,"CI/CD, Kubernetes, Docker, Linux, Jenkins, AWS"
Java Developer,Software Engineering,Meta,14 LPA,"Maven, SQL, Java, OOP Concepts, Spring Boot"
AI Engineer,Artificial Intelligence,TCS,35 LPA,"TensorFlow, Python, Computer Vision, PyTorch"
Database Administrator,Database Management,Meta,20 LPA,"Performance Tuning, SQL, Oracle, Database Design"
Digital Marketing Specialist,Digital Marketing,Microsoft,8 LPA,"Email Marketing, SEM, Google Analytics, SEO, Content Marketing"
Database Administrator,Database Management,Capgemini,20 LPA,"Performance Tuning, SQL, Backup and Recovery, Oracle"
Digital Marketing Specialist,Digital Marketing,Infosys,8 LPA,"Content Marketing, SEO, Google Analytics, Email Marketing, SEM, Social Media Marketing"
AI Engineer,Artificial Intelligence,Cisco,25 LPA,"Python, NLP, Computer Vision"
Database Administrator,Database Management,Amazon,15 LPA,"Backup and Recovery, Performance Tuning, SQL"
Cloud Engineer,Cloud Computing,Accenture,25 LPA,"Linux, Terraform, Cloud Security, Kubernetes, Docker, AWS, Azure"
AI Engineer,Artificial Intelligence,Microsoft,25 LPA,"Computer Vision, NLP, Deep Learning, TensorFlow, Python, PyTorch"
Digital Marketing Specialist,Digital Marketing,Infosys,12 LPA,"Google Analytics, Email Marketing, SEO"
AI Engineer,Artificial Intelligence,Microsoft,25 LPA,"Python, NLP, TensorFlow"
Data Analyst,Data Science,Amazon,30 LPA,"SQL, Python, Excel, Tableau, Data Visualization"
Cloud Engineer,Cloud Computing,Amazon,28 LPA,"Linux, Terraform, Cloud Security, AWS, Azure"
Digital Marketing Specialist,Digital Marketing,TCS,8 LPA,"Google Analytics, SEM, SEO, Content Marketing, Email Marketing"
Backend Developer,Web Development,Google,15 LPA,"Flask, SQL, Git, Django, APIs, Bootstrap"
Frontend Developer,Web Development,TCS,15 LPA,"Responsive Design, React, HTML, CSS, JavaScript, Git"
Frontend Developer,Web Development,Google,18 LPA,"JavaScript, HTML, React, Git, CSS, Responsive Design"
Senior Data Scientist,Data Science,IBM,30 LPA,"Data Analysis, Statistics, Python, Machine Learning, TensorFlow"
Database Administrator,Database Management,Infosys,18 LPA,"Backup and Recovery, Oracle, Performance Tuning, SQL, Database Design"
Database Administrator,Database Management,Accenture,18 LPA,"Performance Tuning, Oracle, Database Design, SQL, Backup and Recovery"
Backend Developer,Web Development,Capgemini,12 LPA,"Python, Git, Flask, SQL, APIs, Django"
Senior Data Scientist,Data Science,Infosys,25 LPA,"SQL, TensorFlow, Pandas, Python, Data Analysis, Machine Learning"
Business Analyst,Business Analysis,Amazon,16 LPA,"SQL, Tableau, Power BI, Requirement Gathering, Business Analysis, Agile Methodology"
Data Analyst,Data Science,Cisco,25 LPA,"SQL, Statistics, Excel, Python, Tableau, Data Visualization"
Security Analyst,Cybersecurity,Infosys,22 LPA,"Ethical Hacking, Network Security, Incident Response, Python"
Senior Data Scientist,Data Science,Microsoft,20 LPA,"Data Analysis, Statistics, Python, Machine Learning, Pandas"
AI Engineer,Artificial Intelligence,Accenture,30 LPA,"TensorFlow, Deep Learning, Python"
Digital Marketing Specialist,Digital Marketing,TCS,12 LPA,"Content Marketing, Email Marketing, Google Analytics, SEO, Social Media Marketing"
Backend Developer,Web Development,Accenture,12 LPA,"SQL, Flask, Python, APIs, Django, Bootstrap"
AI Engineer,Artificial Intelligence,Google,35 LPA,"TensorFlow, NLP, Deep Learning, Python, Computer Vision"
AI Engineer,Artificial Intelligence,TCS,35 LPA,"NLP, Computer Vision, Deep Learning, Python"
Java Developer,Software Engineering,Cisco,18 LPA,"Java, Maven, OOP Concepts, Data Structures"
Frontend Developer,Web Development,Google,12 LPA,"CSS, Git, HTML, Responsive Design, React"
Backend Developer,Web Development,Microsoft,12 LPA,"SQL, Python, APIs, Flask"
Backend Developer,Web Development,Deloitte,15 LPA,"Django, APIs, SQL, Python, Flask, Git"
Frontend Developer,Web Development,IBM,15 LPA,"JavaScript, React, CSS, Git"
DevOps Engineer,DevOps,Deloitte,28 LPA,"Linux, Docker, Jenkins, CI/CD, Ansible"
Data Analyst,Data Science,TCS,20 LPA,"Tableau, Statistics, Excel, Python"
Digital Marketing Specialist,Digital Marketing,Accenture,10 LPA,"SEO, Google Analytics, SEM, Email Marketing"
Java Developer,Software Engineering,Amazon,14 LPA,"Maven, SQL, OOP Concepts, Spring Boot"
Senior Data Scientist,Data Science,IBM,20 LPA,"Python, Data Analysis, TensorFlow, SQL, Pandas, Machine Learning, Statistics"
Java Developer,Software Engineering,Deloitte,18 LPA,"Spring Boot, Maven, Java, Data Structures, JUnit"
Java Developer,Software Engineering,Accenture,20 LPA,"SQL, Maven, Data Structures, OOP Concepts, Java, Spring Boot"
Database Administrator,Database Management,Microsoft,18 LPA,"Oracle, SQL, Performance Tuning, Backup and Recovery, Database Design"
Frontend Developer,Web Development,Infosys,18 LPA,"React, Git, Responsive Design, HTML, CSS, JavaScript, Bootstrap"
Frontend Developer,Web Development,Capgemini,15 LPA,"React, JavaScript, HTML, CSS, Responsive Design, Git"
Frontend Developer,Web Development,Meta,12 LPA,"HTML, React, Git, Responsive Design"
Java Developer,Software Engineering,Amazon,20 LPA,"Spring Boot, OOP Concepts, Maven, Data Structures"
Business Analyst,Business Analysis,Accenture,14 LPA,"Business Analysis, Tableau, Requirement Gathering, SQL, Power BI, Excel"
Backend Developer,Web Development,Accenture,18 LPA,"Python, SQL, Git, Flask"
Data Analyst,Data Science,TCS,30 LPA,"Data Visualization, Tableau, Excel, Statistics"
Security Analyst,Cybersecurity,Cisco,30 LPA,"Firewall Management, Network Security, Incident Response"
Business Analyst,Business Analysis,Deloitte,16 LPA,"Requirement Gathering, Power BI, SQL, Excel, Tableau"
Business Analyst,Business Analysis,IBM,14 LPA,"Excel, SQL, Power BI, Tableau, Business Analysis, Requirement Gathering, Agile Methodology"
Java Developer,Software Engineering,Cisco,20 LPA,"SQL, Maven, Spring Boot, Java, OOP Concepts"
Data Analyst,Data Science,Google,20 LPA,"Tableau, Excel, Statistics, SQL, Data Visualization"
Data Analyst,Data Science,Cisco,30 LPA,"Excel, Data Visualization, Tableau, Statistics, Python, Hadoop"
DevOps Engineer,DevOps,Google,28 LPA,"Jenkins, Kubernetes, Linux, AWS"
Data Analyst,Data Science,Meta,30 LPA,"Excel, SQL, Statistics, Python, Tableau, Data Visualization"
Cloud Engineer,Cloud Computing,IBM,32 LPA,"AWS, Terraform, Linux, Docker, Cloud Security, Kubernetes"
Java Developer,Software Engineering,Meta,20 LPA,"Java, Spring Boot, SQL, Data Structures"
Database Administrator,Database Management,Capgemini,18 LPA,"Database Design, Oracle, SQL, Backup and Recovery"
Digital Marketing Specialist,Digital Marketing,Google,8 LPA,"SEO, Google Analytics, SEM"
Database Administrator,Database Management,Meta,18 LPA,"Oracle, Backup and Recovery, SQL, PostgreSQL"
Data Analyst,Data Science,Cisco,20 LPA,"Data Visualization, Statistics, Tableau, Python, PySpark"
